,year,month,day,hour,minute,LOP,magnetic_local_time,magnetic_latitude,AL_index,Kp_index,Satellite_flag,Bw
year,1,-0.036818741,-0.004089004,-0.111675081,-0.002159487,-0.012602655,0.066168736,0.130010088,-0.09502661,0.144072554,0.111379058,0.037739653
month,-0.036818741,1,0.015183769,-0.057469729,-0.001205106,-0.051441894,0.00964572,0.076152348,-0.035844215,0.034437894,0.006280478,-0.014327274
day,-0.004089004,0.015183769,1,0.019662324,0.000641648,0.017310284,0.023358054,-0.002396325,0.018615434,-0.038346619,0.004508401,-0.012361704
hour,-0.111675081,-0.057469729,0.019662324,1,0.00434655,0.036360901,-0.064550844,0.083269893,-0.040919316,-0.007499224,-0.037616328,0.015774727
minute,-0.002159487,-0.001205106,0.000641648,0.00434655,1,0.00268692,0.003195354,-0.001504488,0.002278058,-0.002245589,-4.73E-05,0.002571646
LOP,-0.012602655,-0.051441894,0.017310284,0.036360901,0.00268692,1,0.050867893,0.056170055,0.082642356,-0.129272992,-0.038513595,0.027000032
magnetic_local_time,0.066168736,0.00964572,0.023358054,-0.064550844,0.003195354,0.050867893,1,0.050548791,0.056157596,-0.057471829,-0.012815456,-0.131895388
magnetic_latitude,0.130010088,0.076152348,-0.002396325,0.083269893,-0.001504488,0.056170055,0.050548791,1,-0.001902119,0.014062496,-0.023716631,0.030600858
AL_index,-0.09502661,-0.035844215,0.018615434,-0.040919316,0.002278058,0.082642356,0.056157596,-0.001902119,1,-0.656960402,-0.017664158,-0.160059339
Kp_index,0.144072554,0.034437894,-0.038346619,-0.007499224,-0.002245589,-0.129272992,-0.057471829,0.014062496,-0.656960402,1,0.022215827,0.180801235
Satellite_flag,0.111379058,0.006280478,0.004508401,-0.037616328,-4.73E-05,-0.038513595,-0.012815456,-0.023716631,-0.017664158,0.022215827,1,-0.056467184
Bw,0.037739653,-0.014327274,-0.012361704,0.015774727,0.002571646,0.027000032,-0.131895388,0.030600858,-0.160059339,0.180801235,-0.056467184,1